item_pedido_id,pedido_id,produto_id,quantidade,valor_unitario,desconto,custo_produto
1,1,177,2,1162.25,455.53,785.93
2,2,198,4,975.1,0.0,592.6
3,2,57,5,1697.7,0.0,1322.44
4,2,164,5,855.87,0.0,415.6
5,3,10,5,1851.92,0.0,804.04
6,3,76,4,1342.28,0.0,833.02
7,4,105,5,1693.14,1564.18,1118.35
8,5,24,3,230.86,0.0,152.2
9,6,158,1,780.16,0.0,574.57
10,6,190,1,211.2,0.0,93.15
11,7,78,5,1120.7,0.0,587.05
12,8,13,1,1576.56,0.0,1214.72
13,8,177,5,1162.25,0.0,785.93
14,9,152,2,74.94,30.21,48.99
15,10,24,1,230.86,0.0,152.2
16,11,178,4,313.08,293.97,218.93
17,11,21,5,1550.37,0.0,740.39
18,12,45,5,1427.63,0.0,649.18
19,12,152,3,74.94,0.0,48.99
20,12,32,1,821.57,0.0,594.11
21,12,47,1,80.37,0.0,55.36
22,13,143,4,815.94,0.0,462.44
23,13,131,3,1070.65,0.0,464.75
24,13,67,4,44.24,0.0,32.1
25,14,142,3,1414.64,0.0,992.95
26,15,52,5,758.6,0.0,349.5
27,16,118,3,1851.52,0.0,1004.31
28,16,152,5,74.94,64.47,48.99
29,16,1,5,940.68,0.0,693.18
30,17,136,3,1135.94,0.0,531.16
31,17,27,2,1540.8,695.59,825.81
32,17,143,2,815.94,0.0,462.44
33,18,100,5,21.34,0.0,9.5
34,19,167,4,1624.5,0.0,1151.26
35,19,169,3,1294.51,0.0,892.02
36,20,44,5,1133.78,0.0,558.31
37,21,163,4,1692.17,0.0,1235.37
38,22,145,3,315.99,0.0,252.57
39,22,83,4,1632.46,0.0,1273.19
40,23,198,4,975.1,0.0,592.6
41,23,98,5,1870.96,0.0,830.29
42,24,137,3,1046.25,0.0,517.86
43,25,30,3,728.37,0.0,348.68
44,26,96,2,1599.38,0.0,1029.16
45,26,161,4,1724.47,0.0,735.43
46,27,171,2,964.56,0.0,672.88
47,27,167,4,1624.5,0.0,1151.26
48,28,105,4,1693.14,0.0,1118.35
49,29,94,1,1824.03,0.0,1151.49
50,29,200,2,339.29,0.0,230.5
51,30,198,1,975.1,0.0,592.6
52,30,152,2,74.94,0.0,48.99
53,31,168,4,1383.69,0.0,772.94
54,31,47,3,80.37,0.0,55.36
55,31,157,3,1462.71,0.0,1110.42
56,32,124,2,143.66,0.0,100.67
57,33,162,4,1313.35,0.0,970.54
58,34,148,1,279.67,0.0,165.89
59,35,181,2,1918.34,0.0,1274.22
60,36,21,1,1550.37,0.0,740.39
61,36,80,4,1838.71,0.0,1403.47
62,37,98,3,1870.96,0.0,830.29
63,38,81,2,1867.35,0.0,1083.79
64,38,32,2,821.57,0.0,594.11
65,39,15,2,206.2,0.0,89.41
66,39,103,5,1779.65,0.0,828.81
67,39,179,2,1024.91,0.0,525.28
68,40,14,4,1299.6,538.86,584.06
69,41,197,3,26.75,0.0,19.26
70,41,135,2,336.54,70.23,262.1
71,41,29,2,212.82,0.0,167.38
72,42,17,3,1907.09,0.0,917.64
73,42,178,1,313.08,0.0,218.93
74,42,187,1,1812.15,0.0,1098.72
75,42,180,1,376.07,0.0,239.65
76,43,149,4,1426.18,0.0,1083.22
77,44,89,4,571.99,0.0,318.33
78,45,127,4,274.15,0.0,190.98
79,45,24,3,230.86,0.0,152.2
80,46,27,4,1540.8,0.0,825.81
81,46,16,4,568.35,0.0,303.82
82,46,66,2,44.39,0.0,27.87
83,47,147,4,1448.67,0.0,1074.13
84,47,12,1,189.4,0.0,115.44
85,47,55,5,1625.56,0.0,1084.23
86,48,69,3,773.25,0.0,527.62
87,48,115,3,1403.72,0.0,946.66
88,48,180,4,376.07,0.0,239.65
89,49,58,5,963.9,0.0,662.4
90,49,151,4,1890.0,1062.41,1450.48
91,50,100,3,21.34,0.0,9.5
92,50,182,5,205.62,0.0,146.11
93,51,49,5,1454.6,0.0,796.35
94,51,132,4,481.94,0.0,268.63
95,51,176,1,193.11,0.0,115.54
96,52,140,1,1641.32,0.0,878.94
97,53,179,1,1024.91,0.0,525.28
98,53,122,1,1533.34,0.0,1213.91
99,54,140,4,1641.32,0.0,878.94
100,55,107,3,1997.25,0.0,1191.75
101,56,175,4,124.17,0.0,66.58
102,56,142,1,1414.64,0.0,992.95
103,56,178,2,313.08,0.0,218.93
104,57,139,2,724.92,0.0,563.55
105,57,200,3,339.29,0.0,230.5
106,58,50,1,1959.37,0.0,1210.65
107,58,23,3,1754.74,0.0,904.77
108,58,64,2,834.47,119.52,553.62
109,59,166,3,1401.09,0.0,578.92
110,60,155,2,514.03,249.89,246.82
111,61,59,5,645.21,0.0,375.76
112,62,121,4,1324.35,0.0,933.03
113,63,10,3,1851.92,0.0,804.04
114,63,29,3,212.82,0.0,167.38
115,64,169,5,1294.51,0.0,892.02
116,64,105,5,1693.14,0.0,1118.35
117,64,58,3,963.9,0.0,662.4
118,65,79,2,761.85,0.0,305.66
119,65,101,4,1731.99,0.0,764.96
120,66,95,4,569.34,0.0,363.07
121,66,96,2,1599.38,0.0,1029.16
122,67,59,2,645.21,0.0,375.76
123,67,145,1,315.99,0.0,252.57
124,68,46,4,1450.83,0.0,811.15
125,69,82,2,348.59,0.0,233.79
126,70,157,3,1462.71,0.0,1110.42
127,70,163,4,1692.17,574.26,1235.37
128,71,167,2,1624.5,0.0,1151.26
129,72,46,5,1450.83,0.0,811.15
130,73,6,5,210.87,0.0,118.71
131,74,93,4,713.59,0.0,539.18
132,75,182,4,205.62,0.0,146.11
133,76,92,5,278.56,0.0,154.3
134,76,13,4,1576.56,0.0,1214.72
135,77,52,2,758.6,0.0,349.5
136,78,34,4,957.59,0.0,401.31
137,79,138,2,1358.21,0.0,571.38
138,79,152,1,74.94,0.0,48.99
139,80,4,2,485.08,0.0,276.4
140,81,71,5,1279.98,0.0,766.22
141,82,69,3,773.25,0.0,527.62
142,83,158,1,780.16,0.0,574.57
143,84,32,5,821.57,0.0,594.11
144,84,112,4,1079.04,0.0,485.89
145,84,131,1,1070.65,0.0,464.75
146,85,3,1,1836.27,279.49,1338.35
147,86,1,4,940.68,0.0,693.18
148,87,174,5,225.06,0.0,118.08
149,88,132,1,481.94,0.0,268.63
150,88,78,3,1120.7,0.0,587.05
151,88,1,5,940.68,0.0,693.18
152,89,199,4,974.73,0.0,667.3
153,90,167,3,1624.5,0.0,1151.26
154,90,104,1,501.79,0.0,368.22
155,91,196,5,1789.23,0.0,1274.42
156,91,83,2,1632.46,238.73,1273.19
157,91,108,4,380.52,0.0,185.67
158,91,60,2,244.05,65.67,172.59
159,92,41,1,402.84,0.0,311.35
160,93,65,1,1085.86,0.0,563.07
161,93,36,4,631.0,0.0,410.1
162,94,20,2,923.5,0.0,524.66
163,95,48,4,94.01,0.0,39.69
164,96,61,1,1721.54,0.0,1234.25
165,96,153,2,1917.53,0.0,1273.36
166,97,140,1,1641.32,0.0,878.94
167,97,108,4,380.52,0.0,185.67
168,97,159,4,650.97,0.0,303.93
169,97,126,3,258.32,0.0,135.69
170,98,39,5,1123.5,0.0,845.6
171,98,93,5,713.59,0.0,539.18
172,99,162,5,1313.35,0.0,970.54
173,100,170,3,799.03,0.0,458.9
174,100,159,4,650.97,0.0,303.93
175,101,152,1,74.94,0.0,48.99
176,102,133,4,1117.69,0.0,811.11
177,103,140,5,1641.32,0.0,878.94
178,104,158,4,780.16,0.0,574.57
179,104,194,2,1708.15,0.0,1328.97
180,105,89,2,571.99,0.0,318.33
181,106,25,3,1780.3,1113.9,921.25
182,106,166,1,1401.09,0.0,578.92
183,106,112,2,1079.04,0.0,485.89
184,107,199,3,974.73,0.0,667.3
185,107,116,1,1825.64,0.0,1227.86
186,108,16,4,568.35,0.0,303.82
187,109,94,3,1824.03,0.0,1151.49
188,110,124,4,143.66,0.0,100.67
189,111,126,3,258.32,0.0,135.69
190,112,158,5,780.16,455.5,574.57
191,112,21,5,1550.37,0.0,740.39
192,112,191,3,449.7,0.0,329.73
193,112,130,4,1026.46,0.0,684.18
194,113,119,5,1743.46,0.0,764.22
195,113,137,4,1046.25,0.0,517.86
196,114,11,3,443.59,0.0,309.23
197,115,121,3,1324.35,0.0,933.03
198,115,172,1,368.33,0.0,227.04
199,116,187,3,1812.15,888.84,1098.72
200,116,88,1,787.49,0.0,617.53
201,117,41,2,402.84,0.0,311.35
202,118,39,2,1123.5,0.0,845.6
203,119,187,4,1812.15,0.0,1098.72
204,120,49,5,1454.6,708.37,796.35
205,121,13,4,1576.56,0.0,1214.72
206,121,117,1,1115.53,0.0,837.06
207,122,27,1,1540.8,0.0,825.81
208,123,25,4,1780.3,0.0,921.25
209,124,113,2,241.55,24.94,119.77
210,125,60,5,244.05,0.0,172.59
211,125,61,1,1721.54,0.0,1234.25
212,125,166,1,1401.09,0.0,578.92
213,125,164,3,855.87,0.0,415.6
214,126,39,1,1123.5,0.0,845.6
215,127,14,4,1299.6,0.0,584.06
216,128,59,2,645.21,0.0,375.76
217,128,1,4,940.68,0.0,693.18
218,129,28,2,1272.35,0.0,527.11
219,130,188,1,1304.63,0.0,906.36
220,130,29,3,212.82,0.0,167.38
221,131,162,5,1313.35,0.0,970.54
222,131,173,2,690.68,0.0,376.23
223,131,79,3,761.85,0.0,305.66
224,131,82,2,348.59,0.0,233.79
225,132,107,2,1997.25,0.0,1191.75
226,133,187,5,1812.15,0.0,1098.72
227,133,153,1,1917.53,0.0,1273.36
228,134,33,4,1699.17,1232.87,1092.46
229,134,160,1,1301.86,212.58,988.45
230,135,136,2,1135.94,0.0,531.16
231,135,184,2,434.04,0.0,273.06
232,135,95,4,569.34,0.0,363.07
233,135,42,3,275.79,0.0,193.08
234,136,36,1,631.0,0.0,410.1
235,136,119,5,1743.46,1144.72,764.22
236,137,118,5,1851.52,0.0,1004.31
237,137,185,5,1346.26,0.0,659.71
238,138,130,3,1026.46,0.0,684.18
239,139,158,1,780.16,0.0,574.57
240,140,34,3,957.59,0.0,401.31
241,140,63,5,1905.36,0.0,1490.14
242,140,108,1,380.52,0.0,185.67
243,141,183,2,1244.16,0.0,704.79
244,142,119,4,1743.46,0.0,764.22
245,143,166,3,1401.09,0.0,578.92
246,144,32,5,821.57,0.0,594.11
247,145,11,3,443.59,0.0,309.23
248,145,166,3,1401.09,0.0,578.92
249,145,19,4,1244.37,688.77,689.09
250,146,10,3,1851.92,0.0,804.04
251,146,72,4,1578.05,479.76,673.47
252,146,143,1,815.94,0.0,462.44
253,146,108,1,380.52,0.0,185.67
254,147,193,3,1286.49,0.0,650.46
255,148,126,4,258.32,0.0,135.69
256,148,87,3,1665.43,0.0,1319.95
257,149,52,2,758.6,0.0,349.5
258,149,39,5,1123.5,0.0,845.6
259,150,78,2,1120.7,532.3,587.05
260,150,110,5,370.66,0.0,261.98
261,150,111,4,1093.39,0.0,870.98
262,151,179,1,1024.91,0.0,525.28
263,151,1,5,940.68,0.0,693.18
264,151,68,4,1964.1,0.0,1434.5
265,151,170,1,799.03,0.0,458.9
266,152,142,2,1414.64,0.0,992.95
267,153,144,2,600.21,0.0,262.77
268,153,129,1,362.84,0.0,214.96
269,154,104,5,501.79,0.0,368.22
270,154,108,2,380.52,87.1,185.67
