pedido_id,cliente_id,data_pedido,status,valor_total,metodo_pagamento,endereco_id
1,319,2024-02-27 07:08:00,completed,1868.97,pix,172
2,483,2023-01-29 13:49:00,completed,16668.25,cartao_credito,294
3,361,2023-10-02 05:26:00,completed,14628.72,boleto,132
4,110,2023-05-02 22:57:00,completed,6901.52,boleto,259
5,251,2024-10-19 22:26:00,completed,692.58,boleto,193
6,190,2024-07-01 21:28:00,pending,991.36,pix,177
7,360,2024-03-08 18:42:00,completed,5603.5,pix,286
8,43,2025-05-26 01:22:00,completed,7387.81,boleto,193
9,439,2025-05-23 17:47:00,returned,119.67,cartao_credito,138
10,116,2024-01-30 03:55:00,completed,230.86,boleto,28
11,299,2024-12-04 13:24:00,completed,8710.2,cartao_credito,76
12,273,2025-05-21 07:24:00,completed,8264.91,cartao_credito,148
13,318,2025-09-13 20:45:00,completed,6652.67,cartao_credito,87
14,296,2023-09-05 03:37:00,cancelled,4243.92,pix,141
15,429,2024-01-27 17:16:00,returned,3793.0,pix,347
16,126,2024-08-01 11:25:00,completed,10568.19,pix,114
17,394,2023-11-17 15:30:00,completed,7425.71,pix,279
18,74,2023-12-25 11:15:00,completed,106.7,pix,137
19,199,2024-03-30 10:23:00,completed,10381.53,boleto,66
20,451,2024-03-29 16:03:00,completed,5668.9,pix,202
21,452,2023-01-12 19:34:00,pending,6768.68,boleto,364
22,33,2024-07-09 21:59:00,pending,7477.81,pix,41
23,181,2025-09-01 09:09:00,returned,13255.2,pix,104
24,373,2025-05-09 01:38:00,completed,3138.75,cartao_credito,142
25,470,2024-08-19 08:38:00,completed,2185.11,pix,24
26,189,2025-09-25 14:48:00,completed,10096.64,cartao_credito,68
27,447,2023-08-17 02:19:00,completed,8427.12,pix,144
28,397,2025-07-20 04:18:00,cancelled,6772.56,pix,306
29,90,2025-05-09 21:24:00,completed,2502.61,pix,342
30,493,2024-10-09 20:14:00,completed,1124.98,cartao_credito,306
31,479,2025-04-01 11:00:00,completed,10164.0,cartao_credito,84
32,1,2025-07-03 00:33:00,completed,287.32,cartao_credito,330
33,480,2024-07-29 23:30:00,completed,5253.4,boleto,377
34,228,2025-03-31 23:37:00,completed,279.67,boleto,371
35,288,2023-09-09 05:18:00,completed,3836.68,boleto,323
36,431,2023-06-09 03:35:00,completed,8905.21,boleto,125
37,321,2025-01-31 09:33:00,completed,5612.88,cartao_credito,153
38,92,2024-04-25 00:49:00,completed,5377.84,boleto,37
39,32,2025-06-11 15:56:00,pending,11360.47,boleto,271
40,75,2025-07-12 07:14:00,cancelled,4659.54,boleto,42
41,225,2023-03-19 20:07:00,completed,1108.74,pix,110
42,156,2024-04-26 23:35:00,completed,8222.57,cartao_credito,103
43,167,2023-02-18 08:03:00,completed,5704.72,boleto,395
44,305,2024-03-08 18:45:00,completed,2287.96,cartao_credito,346
45,10,2024-03-17 11:54:00,completed,1789.18,cartao_credito,40
46,154,2024-10-23 06:39:00,pending,8525.38,cartao_credito,77
47,158,2023-03-06 12:46:00,completed,14111.88,cartao_credito,115
48,342,2024-02-03 06:15:00,completed,8035.19,cartao_credito,377
49,112,2023-09-29 06:20:00,returned,11317.09,boleto,248
50,408,2024-03-17 22:06:00,completed,1092.12,pix,23
51,46,2023-09-18 06:40:00,completed,9393.87,cartao_credito,14
52,33,2023-12-15 19:47:00,completed,1641.32,pix,367
53,475,2025-07-07 16:24:00,completed,2558.25,cartao_credito,139
54,470,2024-07-14 16:51:00,completed,6565.28,cartao_credito,157
55,36,2024-11-16 06:04:00,completed,5991.75,boleto,72
56,380,2023-08-28 02:34:00,completed,2537.48,pix,265
57,292,2024-12-03 04:52:00,completed,2467.71,pix,204
58,363,2025-04-26 21:09:00,completed,8773.01,cartao_credito,154
59,1,2023-12-10 09:57:00,completed,4203.27,boleto,343
60,60,2025-04-17 04:52:00,completed,778.17,pix,27
61,488,2023-08-30 19:31:00,completed,3226.05,pix,261
62,455,2024-02-27 09:33:00,completed,5297.4,boleto,364
63,451,2023-07-24 19:49:00,completed,6194.22,cartao_credito,392
64,75,2025-02-15 03:11:00,completed,17829.95,pix,217
65,186,2024-04-28 22:34:00,completed,8451.66,pix,200
66,121,2025-05-22 22:08:00,completed,5476.12,boleto,210
67,451,2023-08-08 12:18:00,completed,1606.41,pix,293
68,126,2024-02-28 22:01:00,returned,5803.32,boleto,246
69,492,2024-08-03 13:40:00,completed,697.18,boleto,281
70,72,2023-06-01 12:23:00,completed,10582.55,cartao_credito,93
71,447,2023-01-08 17:33:00,pending,3249.0,cartao_credito,110
72,52,2025-03-05 03:46:00,completed,7254.15,cartao_credito,253
73,451,2023-09-08 00:35:00,completed,1054.35,pix,23
74,194,2023-07-20 10:37:00,returned,2854.36,cartao_credito,23
75,349,2023-05-08 09:36:00,completed,822.48,pix,323
76,350,2024-01-25 23:13:00,completed,7699.04,boleto,369
77,153,2025-03-19 23:18:00,completed,1517.2,pix,119
78,57,2024-08-24 04:10:00,completed,3830.36,cartao_credito,386
79,114,2024-06-27 22:22:00,completed,2791.36,boleto,179
80,258,2023-10-23 18:53:00,completed,970.16,boleto,190
81,416,2025-07-11 05:31:00,completed,6399.9,pix,255
82,112,2024-12-13 18:30:00,completed,2319.75,cartao_credito,26
83,364,2024-09-17 09:54:00,completed,780.16,pix,352
84,331,2024-05-25 01:51:00,completed,9494.66,pix,104
85,308,2025-06-03 12:44:00,completed,1556.78,pix,327
86,82,2025-04-18 16:10:00,completed,3762.72,cartao_credito,266
87,335,2025-05-25 09:25:00,completed,1125.3,boleto,230
88,201,2024-05-06 03:59:00,completed,8547.44,cartao_credito,197
89,351,2024-01-18 18:03:00,completed,3898.92,cartao_credito,384
90,247,2024-03-23 05:30:00,cancelled,5375.29,boleto,262
91,238,2023-05-21 01:02:00,completed,13916.85,pix,75
92,217,2023-04-03 05:07:00,completed,402.84,boleto,170
93,325,2024-03-17 22:54:00,completed,3609.86,boleto,48
94,471,2025-04-30 23:27:00,completed,1847.0,boleto,321
95,157,2023-10-23 21:32:00,returned,376.04,cartao_credito,208
96,336,2025-07-25 03:54:00,completed,5556.6,boleto,375
97,381,2025-07-26 10:30:00,completed,6542.24,boleto,381
98,263,2023-05-01 10:05:00,completed,9185.45,cartao_credito,192
99,331,2025-06-25 15:43:00,completed,6566.75,boleto,388
100,467,2025-06-26 19:34:00,completed,5000.97,cartao_credito,286
101,369,2024-12-25 00:25:00,completed,74.94,pix,146
102,211,2023-01-25 11:59:00,pending,4470.76,pix,316
103,6,2023-09-06 17:07:00,pending,8206.6,pix,69
104,357,2024-06-04 05:33:00,completed,6536.94,boleto,221
105,86,2025-06-05 10:57:00,completed,1143.98,cartao_credito,320
106,354,2023-01-22 13:23:00,completed,7786.17,boleto,131
107,27,2023-07-14 10:30:00,completed,4749.83,pix,219
108,307,2025-05-30 00:50:00,completed,2273.4,boleto,68
109,314,2024-03-22 14:49:00,completed,5472.09,pix,13
110,264,2024-11-25 22:21:00,completed,574.64,cartao_credito,263
111,498,2025-06-27 11:16:00,completed,774.96,boleto,300
112,9,2025-06-14 19:42:00,completed,16652.09,cartao_credito,1
113,464,2023-01-18 08:36:00,completed,12902.3,pix,19
114,130,2024-08-10 17:02:00,completed,1330.77,boleto,118
115,193,2023-04-21 15:18:00,completed,4341.38,cartao_credito,382
116,456,2024-12-06 18:18:00,completed,5335.1,cartao_credito,296
117,32,2024-06-08 15:44:00,pending,805.68,pix,48
118,425,2023-04-30 02:23:00,completed,2247.0,boleto,117
119,489,2024-10-26 16:55:00,pending,7248.6,pix,83
120,107,2024-12-26 07:29:00,completed,6564.63,boleto,81
121,82,2024-05-12 19:12:00,completed,7421.77,cartao_credito,186
122,475,2025-07-06 16:38:00,completed,1540.8,cartao_credito,327
123,395,2023-09-29 09:48:00,pending,7121.2,pix,43
124,402,2025-07-18 00:23:00,completed,458.16,pix,229
125,132,2025-01-07 02:50:00,completed,6910.49,boleto,319
126,247,2023-05-15 20:52:00,completed,1123.5,cartao_credito,325
127,226,2023-01-04 22:28:00,cancelled,5198.4,cartao_credito,174
128,171,2023-09-27 06:46:00,completed,5053.14,cartao_credito,306
129,447,2023-09-22 10:34:00,pending,2544.7,pix,269
130,197,2025-03-12 15:51:00,completed,1943.09,pix,331
131,8,2023-03-13 19:40:00,completed,10930.84,boleto,1
132,410,2024-09-21 04:30:00,completed,3994.5,cartao_credito,305
133,1,2024-08-26 12:23:00,completed,10978.28,cartao_credito,252
134,179,2023-07-08 20:13:00,completed,6653.09,boleto,208
135,276,2024-04-13 09:32:00,completed,6244.69,boleto,387
136,349,2023-02-14 12:08:00,completed,8203.58,boleto,252
137,474,2023-07-17 22:40:00,completed,15988.9,cartao_credito,147
138,46,2025-02-22 23:10:00,completed,3079.38,pix,261
139,478,2025-04-30 14:14:00,completed,780.16,cartao_credito,153
140,49,2025-03-09 15:11:00,pending,12780.09,pix,230
141,318,2025-04-22 17:18:00,completed,2488.32,pix,114
142,102,2025-05-04 00:45:00,pending,6973.84,cartao_credito,396
143,307,2024-03-07 16:32:00,completed,4203.27,cartao_credito,356
144,162,2025-07-12 04:26:00,completed,4107.85,cartao_credito,220
145,464,2025-06-12 22:18:00,completed,9822.75,pix,24
146,81,2025-08-25 07:32:00,pending,12584.66,boleto,199
147,104,2023-06-23 02:10:00,completed,3859.47,boleto,257
148,340,2025-07-17 09:41:00,cancelled,6029.57,cartao_credito,169
149,473,2024-05-31 22:19:00,completed,7134.7,cartao_credito,219
150,161,2023-02-12 08:07:00,completed,7935.96,boleto,104
151,167,2024-07-21 13:59:00,cancelled,14383.74,cartao_credito,63
152,179,2025-02-01 04:14:00,completed,2829.28,pix,192
